marker_id,corpus,split,wearer,meeting_id,preceding_turns,wearer_next_utterance,wearer_profile_terms,wearer_past_context,label,notes,annotator,saved_at
icsi/Val/000037/7445,icsi,Val,fe008,Btr001,"User: So it sort of hooks over your ears from the back.
Speaker 4: Right.
Speaker 5: Oh, yeah.
Speaker 3: Oh, OK.
User: Yeah, good c",Yeah.,"overlaps(36), transcriber(24), overlap(24), transcribers(23), interface(21), script(21), reference(21), backchannels(17), convention(16), transcription(16), respect(16), ibm(16), speakers(14), transcripts(14), thilo(14), context(13), microphone(13), conventions(13), speaker(13), addition(12)","[Bmr010] th the interface we're using, overlaps are, uh, not being encoded by the transcribers in as complete and, uh,
[Bmr005] Well, yeah, b yeah, I would say time bin. So my my goal is to get words with reference to a time bin, beginning and end point. And and sometimes, you know, it was like you could have an overlap where someone said something in the middle, but,
[Bmr018] I think that there always th there would have to be some hand - tweaking, but it's possible that a script could be written to merge those two types of things. I've I've discussed it with Thilo and I mean",0,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000138/14790,icsi,Train,me010,Bed008,"User: No no no, these are ju that's just a point, this is ju
Speaker 2: Uh
Speaker 4: Well some of those are subsumed by approach.
Speaker 2: Would it be an endpoint if you were crossing over it?
Speaker 1: The Charles Bridge, you know.","You know, you y you go first go the town square","belief(18), ontology(13), xml(11), - net(10), robert(10), net(9), bayes(8), construction(7), context(7), heidelberg(6), smartkom(6), type(6), discourse(5), language(5), bayes - nets(4), discussion(4), javabayes(4), nancy(4), nets(4), object(4)","[Bed002] you got a favorite belief - net that you've, you know, played with? JavaBayes or something?
[Bed004] The Bayes - nets will be dec specific for each decision. But what I'd like to be able to do
[Bed005] The f the the the Bayes - nets in general are quite good",0,Direct response to Speaker 1's spatial example; generic narrative with no long-term memory retrieval.,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000010/32567,icsi,Train,fe004,Bed017,"Speaker 4: search interface, if there's no content inside of it, it's not very useful. So I think ultimately because um, uh developing these these rules and these inference uh inferences I think is very costly, so um, uh I think you must be able to reuse some some existing um, domain domain information, or or or ontologies that that uh other people wrote and then try to integrate them, and then also search the entire web basically, rather than just the small uh, content management system.
User: OK. Mm - hmm.
Speaker 4: So I think that's that's crucial for for the success of or @ @
User: So, you're not I guess I'm trying to figure out how how it maps to the kinds of things
Speaker 4: Mm - hmm.",I'm guessing that you you won't be doing that?,"focus(12), location(11), situation(9), robert(9), notation(9), type(9), keith(9), bindings(8), enter(8), list(8), constructions(8), form(8), meaning(8), stress(8), context(7), action(7), construction(7), state(7), subject(6), cue(6)","[Bed015] Well, right now it's a c uh contr construction type and meaning type. So I don't know what a form
[Bed006] Which is why I would think you would say Enter and then just say all the things that are relevant specifically to Enter. And then the things that are abstract will be in the abstract things as well. And that's why the bindings become useful.
[Bed003] cue - type - based, right, here's like we're gonna segment off a bit of stuff that comes from discourse",0,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000141/16607,icsi,Train,me010,Bed011,"User: And
Speaker 1: no person is gonna do all of them. They're just gonna select u um, according to their preferences."" Ah, yeah, I usually visit zoos, or I usually visit castles, or I usually"" And then you pick that one.
User: Yeah, yeah. Right, no no, but but s th point is
Speaker 2: They're redundant.
User: to to y to build a system that's got everything in it that might happen you do one thing. T to build a system that um had the most data on a relatively confined set of things, you do something else. And the speech people, for example, are gonna do better if they if things come up uh repeatedly. Now, of course, if everybody says exactly the same thing then it's not interesting. So, all I'm saying is i th there's there's a kind of question of what we're trying t to accomplish. and I think my temptation for the data gathering would be to uh, you know And each person is only gonna do it once, so you don't have to worry about them being bored, so if if it's one service, one luxury item, you know, one big - ish place, and so forth and so on, um then my guess is that that the data is going to be easier to handle. Now of course you have this I guess possible danger that somehow there're certain constructions that people use uh when talking about a museum that they wouldn't talk about with a university and stuff,",but I guess I'm I uh m my temptation is to go for simpler.,"belief(36), ontology(25), net(21), robert(19), german(16), discourse(15), decision(14), - net(13), bhaskara(12), decisions(12), context(11), smartkom(11), xml(11), endpoint(11), johno(10), guys(9), nancy(9), notion(9), user(9), bayes(8)","[Bed010] the belief - net and the decisions now, which would be fine, it's probably
[Bed009] There's a first cut at a belief - net that that doesn't it isn't fully uh instantiated, and in particular some of the the combination rules and ways of getting the the conditional probabilities aren't there.
[Bed002] the y you know, belief - net package and tell us what it is, and give us a pointer so we can play with it or something.",0,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000040/15267,icsi,Train,fe016,Bdb001,"Speaker 3: Right.
Speaker 2: They generate their own.
User: Actually, I
Speaker 1: Yeah.
User: I just you know, we we've done this stuff on prosodics and three or four places have asked for those prosodic files, and we just have an ASCII, uh, output of frame - by - frame. Which is fine,",but it gets unwieldy to go in and and query these files with really huge files.,"jane(24), switchboard(16), overlap(13), don(13), mari(12), speaker(11), recognizer(11), overlaps(9), forced alignment(9), board(8), transcription(8), transcripts(8), turn(8), recognition(8), transcribers(8), backchannel(7), ideas(7), microphones(7), close - talking mikes(7), queries(7)","[Bmr012] Yeah. No I think it's really, I mean this way we least have a baseline we know that for instance the transcripts are very good so once you can get to the words that the recognizer which is a total subset of the things you need to understand the the text
[Bmr005] Now, why do you need to mark speaker overlap by hand if you can infer it from the relative energy in the I mean, you shouldn't need to do this p completely by hand, right?
[Bmr011] No, we used the fact that So when Jane transcribes them the way she has transcribers doing this, whether it's with the pre - segmentation or not,",0,"Direct sentence completion (""Which is fine, but...""); general data management complaint with no specific entity retrieval.",A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000040/53764,icsi,Train,fe016,Bdb001,"Speaker 3: You'd it's much more efficient for them to just see the word sequence, right?
User: Mm - hmm.
Speaker 3: I mean, most people aren't as sophisticated as as we are here with, you know, uh, time alignments and stuff. So So the the the point is
Speaker 2: Should should we mention some names on the people who are n?
Speaker 3: Right. So, um, the p my point is that you're gonna end up with, uh, word sequences that are differently annotated. And you want some tool, uh, that is able to sort of merge these different annotations back into a single,","Well, all the Switchboard in it. Yeah.","jane(24), switchboard(16), overlap(13), don(13), mari(12), speaker(11), recognizer(11), overlaps(9), forced alignment(9), board(8), transcription(8), transcripts(8), turn(8), recognition(8), transcribers(8), backchannel(7), ideas(7), microphones(7), close - talking mikes(7), queries(7)","[Bmr012] Yeah. No I think it's really, I mean this way we least have a baseline we know that for instance the transcripts are very good so once you can get to the words that the recognizer which is a total subset of the things you need to understand the the text
[Bmr005] Now, why do you need to mark speaker overlap by hand if you can infer it from the relative energy in the I mean, you shouldn't need to do this p completely by hand, right?
[Bmr011] No, we used the fact that So when Jane transcribes them the way she has transcribers doing this, whether it's with the pre - segmentation or not,",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000286/50917,icsi,Train,me025,Bsr001,"Speaker 3: Yeah, I agree.
Speaker 1: just for sort of diversity, and so.
Speaker 7: Yeah.
Speaker 2: Mmm.
Speaker 5: Well, one thing that Horacio h hadn't mentioned is, um, I mean, y you were talking about uh the same the same sort of idea of just collecting a meeting and and looking at it afterwards. But the the thing that I'm interested in, and I'm probably the one who's gonna start doing the collection, um,",Right.,"channels(7), table(7), dan(6), tools(6), microphones(5), transcriber(5), equipment(4), mikes(4), wireless(4), eric(4), project(4), pzm number(4), tcl(4), machine(3), pc(3), transcript number(3), whole thing(3), head(3), pda(3), software(3)","[Bmr002] "" Transcriber was developed with the scripting language TCL TK and C extensions. It relies on the Snack sound extension, which allows support for most common audio formats.""
[Bmr001] Um, it's it's gonna b it's for reasons because of the microphones runs we want that chunk there. There's more equipment in there.
[Bmr003] So there are actually six XLR outs on the back of the radio receiver and only five cables going in, I had the wrong five, so I ended up not recording one of the channels and recording the mix.",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000374/48763,icsi,Train,mn015,Bed011,"Speaker 2: Anyway, we'll sort th yeah, we'll sort that out.
Speaker 4: I I OK.
Speaker 2: Right.
Speaker 4: Yeah.
Speaker 2: Absolutely.","um, top of my head. No no research behind that.","german(25), nuh(16), object(14), xml(14), johno(13), heidelberg(12), parser(12), wizard(12), building(11), input(11), intention(11), belief(10), net(10), friday(10), bhaskara(9), ontology(9), picture(9), smartkom(9), task(9), tower(9)","[Bed006] Um and then, secondly, we had, you may remember, um the problem with the re - phrasing, that subject always re - phrase sort of the task that uh we gave them, and so we had a meeting on Friday talking about how to avoid that, and it
[Bed005] We sort of t think that our bit in this problem is interesting, but, just to get from Powder - Tower to an object I ID in a database
[Bed002] Let me, uh, say one more thing. What we do know, is that the parser we use in the SmartKom system will never differentiate between any of these.",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Val/000037/101968,icsi,Val,fe008,Btr001,"Speaker 3: OK.
User: OK, so, um, we just start out, we and you s you say,"" transcript L"" whatever it is, and then launch into the numbers and then pause between the gr the gaps and then I guess you're supposed to treat
Speaker 4: Sure.
Speaker 6: Pause after each line?
User: Yeah, you s well, you're supposed to treat each line as kind of like a little sentence. What do they say,"" Each line","into smaller groups. Please read each string as if you were giving it to someone over the telephone using the groupings indicated. Think of the groupings as similar to groupings in telephone numbers, social security number.""","overlaps(36), transcriber(24), overlap(24), transcribers(23), interface(21), script(21), reference(21), backchannels(17), convention(16), transcription(16), respect(16), ibm(16), speakers(14), transcripts(14), thilo(14), context(13), microphone(13), conventions(13), speaker(13), addition(12)","[Bmr010] th the interface we're using, overlaps are, uh, not being encoded by the transcribers in as complete and, uh,
[Bmr005] Well, yeah, b yeah, I would say time bin. So my my goal is to get words with reference to a time bin, beginning and end point. And and sometimes, you know, it was like you could have an overlap where someone said something in the middle, but,
[Bmr018] I think that there always th there would have to be some hand - tweaking, but it's possible that a script could be written to merge those two types of things. I've I've discussed it with Thilo and I mean",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000110/5783,icsi,Train,me003,Bed012,"User: And then we would just look at the, eh, Struct that we wanna look at in terms of if if we're only asking about one of the So like, if I'm just interested in the going - there node, I would just pull that information out of the Struct that gets return that would that Java Bayes would output?
Speaker 1: Um, pretty much, yes, but I think it's a little bit more complex. As, if I understand it correctly, it always gives you all the posterior probabilities for all the values of all decision nodes. So, when we input something, we always get the, uh, posterior probabilities for all of these. Right?
User: OK.
Speaker 1: So there is no way of telling it t not to tell us about the EVA values.
User: Yeah, wait I agree, that's yeah, use oh, uh Yeah, OK.","Look at that Struct in the output, right?","source(9), mode(8), xml(8), roles(8), discourse(7), door(7), tourist(7), smartkom(6), admission fee(6), bayes(6), action(6), tango(5), bhaskara(5), context(5), enter(5), javabayes(5), net(5), node(5), probabilities(5), robert(5)","[Bed003] Yeah I know there is an I was looking on the we web page and he's updated it for an XML version of I guess Bayes - nets. There's a Bayes - net spec for in XML.
[Bed004] And I separated them out. And then I um did similar things for our our net to uh with the context and the discourse and whatnot,
[Bed006] One reason we're doing it this way is in case there's extra structure that's in the Enter action that's not captured by the schemas, right?",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Test/000054/57795,icsi,Test,fe016,Bmr019,"Speaker 4: So we're taking these, uh, alignments from the individual channels. We're from each alignment we're producing, uh, one of these CTM files, which essentially has it's just a linear sequence of words with the begin times for every word and the duration.
Speaker 5: Great.
Speaker 4: And and and of course
User: It looks like a Waves label file almost. Right? It's just
Speaker 4: Right. But it has one the first column has the meeting name, so it could actually contain several meetings. Um. And the second column is the channel. Third column is the, um, start times of the words and the fourth column is the duration of the words. And then we're, um","Yeah. These are things that we had Don So, Don sort of,","jane(28), overlap(20), switchboard(18), don(18), recognizer(14), mari(13), recognition(13), speaker(12), transcripts(12), transcribers(12), forced alignment(12), speakers(9), transcription(9), more data(9), overlaps(9), andreas(9), thilo(9), board(8), ideas(8), language(8)","[Bmr012] Yeah. No I think it's really, I mean this way we least have a baseline we know that for instance the transcripts are very good so once you can get to the words that the recognizer which is a total subset of the things you need to understand the the text
[Bmr005] Now, why do you need to mark speaker overlap by hand if you can infer it from the relative energy in the I mean, you shouldn't need to do this p completely by hand, right?
[Bmr011] No, we used the fact that So when Jane transcribes them the way she has transcribers doing this, whether it's with the pre - segmentation or not,",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Val/000037/99301,icsi,Val,fe008,Btr001,"User: But we converted them to this format, and then the idea I mean, you could conceivably put an"" OH"" or a"" zero"" for the"" O's"" and still have this benefit, but I think that the idea is that people can choose what they think is most natural for them to say in those those locations, and you know, maybe there'd be
Speaker 6: Right.
Speaker 3: Mm - hmm.
Speaker 4: So it's optional. You can say one or the other?
Speaker 1: Hmm.","Yes, mm - hmm.","overlaps(36), transcriber(24), overlap(24), transcribers(23), interface(21), script(21), reference(21), backchannels(17), convention(16), transcription(16), respect(16), ibm(16), speakers(14), transcripts(14), thilo(14), context(13), microphone(13), conventions(13), speaker(13), addition(12)","[Bmr010] th the interface we're using, overlaps are, uh, not being encoded by the transcribers in as complete and, uh,
[Bmr005] Well, yeah, b yeah, I would say time bin. So my my goal is to get words with reference to a time bin, beginning and end point. And and sometimes, you know, it was like you could have an overlap where someone said something in the middle, but,
[Bmr018] I think that there always th there would have to be some hand - tweaking, but it's possible that a script could be written to merge those two types of things. I've I've discussed it with Thilo and I mean",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Val/000183/7033,icsi,Val,me011,Buw001,"User: And, uh, do you want to do the P D As and the P Z Ms?
Speaker 5: Let me, uh, turn that off. Oh. PZM nearest, nearest, next nearest. Next one.
Speaker 3: Next nearest.
User: Far.
Speaker 5: Furthest. PDM - right, PZA - right PDA - right, PDA - left.","Yeah, and eventually once this room gets a little more organized, the Jimlets will be mounted under the table, and these guys will be permanently mounted somehow. You know, probably with double - sided tape, but","jane(24), dan(18), transcription(15), tools(10), iram(10), transcriber(8), p z ms(7), project(7), corpus(7), money(6), user interface(6), mike number(6), mikes(5), pda(5), transcripts(5), speaker change(5), stress(5), thanks(5), computer(5), form(4)","[Bmr003] Well what what it what happens is if you're a transcriber listening to it it sounds like Dan is just being a total
[Bsr001] the project will go forward regardless of whether IRAM works or not.
[Bmr002] just getting the word transcripts and speaker change",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Test/000038/92086,icsi,Test,fe008,Btr002,"Speaker 4: Mmm.
User: Yeah.
Speaker 2: That's really cool.
Speaker 5: Machines.
User: Yeah.","I notice people going,"" Pfft"" you know, if they're trying to","overlaps(37), overlap(26), interface(25), transcriber(24), transcribers(24), script(21), reference(21), ibm(19), backchannels(18), context(17), respect(17), convention(16), transcription(16), speakers(15), thilo(15), conventions(14), transcripts(14), microphone(13), speaker(13), addition(12)","[Bmr010] th the interface we're using, overlaps are, uh, not being encoded by the transcribers in as complete and, uh,
[Bmr005] Well, yeah, b yeah, I would say time bin. So my my goal is to get words with reference to a time bin, beginning and end point. And and sometimes, you know, it was like you could have an overlap where someone said something in the middle, but,
[Bmr018] I think that there always th there would have to be some hand - tweaking, but it's possible that a script could be written to merge those two types of things. I've I've discussed it with Thilo and I mean",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000375/6740,icsi,Train,mn015,Bed012,"User: Oh. Mm - hmm. So every part of a structure is a"" Struct"". Yeah.
Speaker 3: Yeah, I just uh I just was abbreviated it to Struct in my head, and started going with that.
User: That element or object, I would say.
Speaker 3: Not a C Struct. That's not what I was trying to k though yeah.
User: Yeah. OK. And, um,",why I think it's a little bit more complex or why why we can even think about it as an interesting problem in and of itself is Um.,"german(27), object(17), nuh(16), johno(14), xml(14), heidelberg(13), intention(13), parser(13), wizard(13), tasks(12), fey(12), building(11), input(11), ontology(11), smartkom(11), belief(10), bhaskara(10), data collection(10), human(10), net(10)","[Bed006] The question is just sort of how do we get the tasks in their head that they have an intention of doing something and have a need to ask the system for something without giving them sort of a clear wording or phrasing of the task.
[Bed002] It was never th th the goal of that data collection to to serve for sat for such a purpose. So that's why for example the tasks were not
[Bed004] uh I should say the system was supposed to break down and then um these were the remaining three tasks that she was going to solve, with a human",,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
